,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
1949,Moreland,BRUNSWICK,-37.77393058,144.9680591,Apartment,Private room,1.0,1.0,48,7,0,0,0,0,,flexible,1,,440
1950,Moreland,BRUNSWICK,-37.75463923,144.957249,House,Private room,1.0,1.0,37,2,0,0,0,2,100.0,strict_14_with_grace_period,1,0.1,440
1951,Moreland,BRUNSWICK,-37.75989987,144.9653191,House,Private room,1.0,1.0,60,4,1,21,27,13,100.0,strict_14_with_grace_period,4,0.71,440
1952,Moreland,BRUNSWICK,-37.76948432,144.9660605,House,Entire home/apt,2.0,3.0,155,5,0,0,0,16,96.0,moderate,1,0.96,440
1953,Moreland,BRUNSWICK,-37.77745975,144.9695464,Apartment,Entire home/apt,1.0,1.0,109,3,5,18,48,39,91.0,strict_14_with_grace_period,1,2.15,440
1954,Moreland,BRUNSWICK,-37.777087200000004,144.96094419999997,Apartment,Entire home/apt,0.0,1.0,96,2,4,7,18,58,98.0,moderate,1,3.95,440
1955,Moreland,BRUNSWICK,-37.77742728,144.961124,Apartment,Entire home/apt,1.0,2.0,69,2,0,0,0,1,100.0,moderate,1,0.06,440
1956,Moreland,BRUNSWICK,-37.77529242,144.96682019999997,House,Entire home/apt,2.0,2.0,89,1,0,0,0,39,95.0,strict_14_with_grace_period,1,2.14,440
1957,Moreland,BRUNSWICK,-37.75499481,144.9645448,House,Private room,1.0,1.0,37,3,9,27,57,14,97.0,moderate,2,0.86,440
1958,Moreland,BRUNSWICK,-37.77217677,144.9526957,Apartment,Private room,1.0,1.0,28,2,0,0,0,4,95.0,moderate,1,0.23,440
1959,Moreland,BRUNSWICK,-37.7744354,144.96038149999998,Apartment,Entire home/apt,2.0,3.0,119,3,0,0,0,4,100.0,moderate,1,0.23,440
1960,Moreland,BRUNSWICK,-37.76723939,144.9516047,House,Private room,2.0,2.0,599,1,28,58,88,0,,flexible,1,,440
1961,Moreland,BRUNSWICK,-37.76316952,144.9613321,Apartment,Entire home/apt,1.0,1.0,105,3,0,0,0,4,100.0,strict_14_with_grace_period,1,0.24,440
1962,Moreland,BRUNSWICK,-37.75707919,144.965429,Apartment,Entire home/apt,1.0,2.0,83,3,0,3,24,40,87.0,strict_14_with_grace_period,1,2.52,440
1963,Moreland,BRUNSWICK,-37.77364304,144.9692175,Townhouse,Private room,1.0,1.0,71,2,8,37,61,52,98.0,moderate,1,2.99,440
1964,Moreland,BRUNSWICK,-37.76720542,144.9506239,Apartment,Private room,1.0,1.0,25,10,0,0,0,1,100.0,flexible,1,0.06,440
1965,Moreland,BRUNSWICK,-37.76237862,144.96289009999998,Apartment,Entire home/apt,1.0,2.0,100,1,14,41,65,102,97.0,strict_14_with_grace_period,9,5.8,440
1966,Moreland,BRUNSWICK,-37.76152576,144.9620068,Apartment,Entire home/apt,2.0,4.0,125,1,7,28,52,92,94.0,strict_14_with_grace_period,9,5.23,440
